PLAYER_ID,PLAYER_NAME,TOTAL_MIN,SHOTS,MADE,FG_PCT,STREAKINESS_S,RANK
203897,Zach LaVine,2603,305,136,0.446,0.542,1
1629008,Michael Porter Jr.,2593,489,193,0.395,0.579,2
203999,Nikola Jokić,2571,331,138,0.417,0.582,3
1628401,Derrick White,2574,691,265,0.384,0.595,4
1628384,OG Anunoby,2706,460,171,0.372,0.595,5
1630162,Anthony Edwards,2871,811,320,0.395,0.601,6
1631128,Christian Braun,2675,224,89,0.397,0.605,7
1627783,Pascal Siakam,2548,324,126,0.389,0.61,8
1629639,Tyler Herro,2725,670,251,0.375,0.615,9
1630559,Austin Reaves,2550,531,200,0.377,0.629,10
1641739,Toumani Camara,2548,360,135,0.375,0.632,11
1628983,Shai Gilgeous-Alexander,2598,435,163,0.375,0.634,12
201935,James Harden,2789,668,235,0.352,0.644,13
1630183,Jaden McDaniels,2614,303,100,0.33,0.648,14
1628369,Jayson Tatum,2624,728,250,0.343,0.649,15
1631099,Keegan Murray,2610,449,154,0.343,0.668,16
1628389,Bam Adebayo,2674,221,79,0.357,0.669,17
1630224,Jalen Green,2697,661,234,0.354,0.681,18
1628969,Mikal Bridges,3036,463,164,0.354,0.688,19
201942,DeMar DeRozan,2768,256,84,0.328,0.689,20
1628404,Josh Hart,2897,252,84,0.333,0.695,21
1630700,Dyson Daniels,2571,235,80,0.34,0.704,22
1629027,Trae Young,2739,642,218,0.34,0.708,23
1626164,Devin Booker,2795,551,183,0.332,0.721,24
